A1BG	alpha-1-B glycoprotein 
POU2F1	POU class 2 homeobox 1 
POU2F2	POU class 2 homeobox 2 
POU5F1	POU class 5 homeobox 1 
PPA2	inorganic pyrophosphatase 2 
PPARA	peroxisome proliferator activated receptor alpha 
PPARD	peroxisome proliferator activated receptor delta 
PPARG	peroxisome proliferator activated receptor gamma 
PPAT	phosphoribosyl pyrophosphate amidotransferase 
PPBP	pro-platelet basic protein 
PPCDC	phosphopantothenoylcysteine decarboxylase 
PPIA	peptidylprolyl isomerase A 
PPIB	peptidylprolyl isomerase B 
PPIC	peptidylprolyl isomerase C 
PPIF	peptidylprolyl isomerase F 
PPIG	peptidylprolyl isomerase G 
PPIH	peptidylprolyl isomerase H 
PPOX	protoporphyrinogen oxidase 
PPP1CA	protein phosphatase 1 catalytic subunit alpha 
PPP1CC	protein phosphatase 1 catalytic subunit gamma 
PPP1R13L	protein phosphatase 1 regulatory subunit 13 like 
PPP2CA	protein phosphatase 2 catalytic subunit alpha 
PPP2CB	protein phosphatase 2 catalytic subunit beta 
PPP2R1A	protein phosphatase 2 scaffold subunit Aalpha 
PPP2R2A	protein phosphatase 2 regulatory subunit Balpha 
PPP2R5C	protein phosphatase 2 regulatory subunit B'gamma 
PPP2R5D	protein phosphatase 2 regulatory subunit B'delta 
PPP3CA	protein phosphatase 3 catalytic subunit alpha 
PPP3R1	protein phosphatase 3 regulatory subunit B, alpha 
PPP3R2	protein phosphatase 3 regulatory subunit B, beta 
PPP5C	protein phosphatase 5 catalytic subunit 
PPT1	palmitoyl-protein thioesterase 1 
PRCP	prolylcarboxypeptidase 
PRDX1	peroxiredoxin 1 
PRDX2	peroxiredoxin 2 
PRDX4	peroxiredoxin 4 
PRDX5	peroxiredoxin 5 
PRDX6	peroxiredoxin 6 
PREP	prolyl endopeptidase 
PRF1	perforin 1 
PRG2	proteoglycan 2, pro eosinophil major basic protein 
PRKAA1	protein kinase AMP-activated catalytic subunit alpha 1 
PRKAA2	protein kinase AMP-activated catalytic subunit alpha 2 
PRKAB1	protein kinase AMP-activated non-catalytic subunit beta 1 
PRKAB2	protein kinase AMP-activated non-catalytic subunit beta 2 
PRKACA	protein kinase cAMP-activated catalytic subunit alpha 
PRKACB	protein kinase cAMP-activated catalytic subunit beta 
PRKAG1	protein kinase AMP-activated non-catalytic subunit gamma 1 
PRKAG2	protein kinase AMP-activated non-catalytic subunit gamma 2 
PRKAG3	protein kinase AMP-activated non-catalytic subunit gamma 3 
PRKAR1A	protein kinase cAMP-dependent type I regulatory subunit alpha 
PRKAR2A	protein kinase cAMP-dependent type II regulatory subunit alpha 
PRKAR2B	protein kinase cAMP-dependent type II regulatory subunit beta 
PRKCA	protein kinase C alpha 
PRKCB	protein kinase C beta 
PRKCD	protein kinase C delta 
PRKCE	protein kinase C epsilon 
PRKCG	protein kinase C gamma 
PRKCI	protein kinase C iota 
PRKCQ	protein kinase C theta 
PRKCZ	protein kinase C zeta 
PRKD1	protein kinase D1 
PRKDC	protein kinase, DNA-activated, catalytic subunit 
PRKG2	protein kinase cGMP-dependent 2 
PRKN	parkin RBR E3 ubiquitin protein ligase 
PRLR	prolactin receptor 
PRMT1	protein arginine methyltransferase 1 
PRMT3	protein arginine methyltransferase 3 
PRNP	prion protein 
PROC	protein C, inactivator of coagulation factors Va and VIIIa 
PROCR	protein C receptor 
PRODH	proline dehydrogenase 1 
PRORP	protein only RNase P catalytic subunit 
PROS1	protein S 
PROX1	prospero homeobox 1 
PROZ	protein Z, vitamin K dependent plasma glycoprotein 
PRPF31	pre-mRNA processing factor 31 
PRPF4B	pre-mRNA processing factor 4B 
PRRC2A	proline rich coiled-coil 2A 
PRSS1	serine protease 1 
PRSS2	serine protease 2 
PRSS3	serine protease 3 
PRSS53	serine protease 53 
PRSS8	serine protease 8 
PRTN3	proteinase 3 
PSAP	prosaposin 
PSAT1	phosphoserine aminotransferase 1 
PSENEN	presenilin enhancer, gamma-secretase subunit 
PSG5	pregnancy specific beta-1-glycoprotein 5 
PSMA1	proteasome 20S subunit alpha 1 
PSMA2	proteasome 20S subunit alpha 2 
PSMA3	proteasome 20S subunit alpha 3 
PSMA4	proteasome 20S subunit alpha 4 
PSMA5	proteasome 20S subunit alpha 5 
PSMA6	proteasome 20S subunit alpha 6 
PSMA7	proteasome 20S subunit alpha 7 
PSMB1	proteasome 20S subunit beta 1 
PSMB10	proteasome 20S subunit beta 10 
PSMB2	proteasome 20S subunit beta 2 
PSMB3	proteasome 20S subunit beta 3 
PSMB4	proteasome 20S subunit beta 4 
PSMB5	proteasome 20S subunit beta 5 
PSMB6	proteasome 20S subunit beta 6 
PSMB7	proteasome 20S subunit beta 7 
PSMB8	proteasome 20S subunit beta 8 
PSMB9	proteasome 20S subunit beta 9 
PSMC3	proteasome 26S subunit, ATPase 3 
PSME1	proteasome activator subunit 1 
PSORS1C1	psoriasis susceptibility 1 candidate 1 
PSORS1C3	psoriasis susceptibility 1 candidate 3 
PSPH	phosphoserine phosphatase 
PTAFR	platelet activating factor receptor 
PTDSS1	phosphatidylserine synthase 1 
PTDSS2	phosphatidylserine synthase 2 
PTEN	phosphatase and tensin homolog 
PTGDR	prostaglandin D2 receptor 
PTGDR2	prostaglandin D2 receptor 2 
PTGER1	prostaglandin E receptor 1 
PTGER2	prostaglandin E receptor 2 
PTGER3	prostaglandin E receptor 3 
PTGER4	prostaglandin E receptor 4 
PTGES	prostaglandin E synthase 
PTGES3	prostaglandin E synthase 3 
PTGFR	prostaglandin F receptor 
PTGIR	prostaglandin I2 receptor 
PTGIS	prostaglandin I2 synthase 
PTGR1	prostaglandin reductase 1 
PTGR2	prostaglandin reductase 2 
PTGS1	prostaglandin-endoperoxide synthase 1 
PTGS2	prostaglandin-endoperoxide synthase 2 
PTH	parathyroid hormone 
PTH1R	parathyroid hormone 1 receptor 
PTH2R	parathyroid hormone 2 receptor 
PTK2	protein tyrosine kinase 2 
PTK2B	protein tyrosine kinase 2 beta 
PTK6	protein tyrosine kinase 6 
PTPN1	protein tyrosine phosphatase non-receptor type 1 
PTPN11	protein tyrosine phosphatase non-receptor type 11 
PTPN4	protein tyrosine phosphatase non-receptor type 4 
PTPRB	protein tyrosine phosphatase receptor type B 
PTPRC	protein tyrosine phosphatase receptor type C 
PTPRD	protein tyrosine phosphatase receptor type D 
PTPRE	protein tyrosine phosphatase receptor type E 
PTPRM	protein tyrosine phosphatase receptor type M 
PTPRS	protein tyrosine phosphatase receptor type S 
PTS	6-pyruvoyltetrahydropterin synthase 
PURA	purine rich element binding protein A 
PVALB	parvalbumin 
PVR	PVR cell adhesion molecule 
PYCR1	pyrroline-5-carboxylate reductase 1 
PYCR2	pyrroline-5-carboxylate reductase 2 
PYCR3	pyrroline-5-carboxylate reductase 3 
PYGB	glycogen phosphorylase B 
PYGL	glycogen phosphorylase L 
PYGM	glycogen phosphorylase, muscle associated 
PZP	PZP alpha-2-macroglobulin like 
QARS1	glutaminyl-tRNA synthetase 1 
QDPR	quinoid dihydropteridine reductase 
QPCT	glutaminyl-peptide cyclotransferase 
QPRT	quinolinate phosphoribosyltransferase 
RAB11A	RAB11A, member RAS oncogene family 
RAB27A	RAB27A, member RAS oncogene family 
RAB5A	RAB5A, member RAS oncogene family 
RAB7A	RAB7A, member RAS oncogene family 
RAB8B	RAB8B, member RAS oncogene family 
RAB9A	RAB9A, member RAS oncogene family 
RABEP1	rabaptin, RAB GTPase binding effector protein 1 
RABGGTA	Rab geranylgeranyltransferase subunit alpha 
RABGGTB	Rab geranylgeranyltransferase subunit beta 
RAC1	Rac family small GTPase 1 
RAC2	Rac family small GTPase 2 
RACK1	receptor for activated C kinase 1 
RAD51	RAD51 recombinase 
RAD52	RAD52 homolog, DNA repair protein 
RAF1	Raf-1 proto-oncogene, serine/threonine kinase 
RALA	RAS like proto-oncogene A 
RALBP1	ralA binding protein 1 
RAMP1	receptor activity modifying protein 1 
RAMP2	receptor activity modifying protein 2 
RAMP3	receptor activity modifying protein 3 
RAN	RAN, member RAS oncogene family 
RANBP1	RAN binding protein 1 
RAP2A	RAP2A, member of RAS oncogene family 
RAPGEF5	Rap guanine nucleotide exchange factor 5 
RARA	retinoic acid receptor alpha 
RARB	retinoic acid receptor beta 
RARG	retinoic acid receptor gamma 
RARRES1	retinoic acid receptor responder 1 
RARS1	arginyl-tRNA synthetase 1 
RASSF1	Ras association domain family member 1 
RB1	RB transcriptional corepressor 1 
RBFOX1	RNA binding fox-1 homolog 1 
RBMS3	RNA binding motif single stranded interacting protein 3 
RBP1	retinol binding protein 1 
RBP2	retinol binding protein 2 
RBP3	retinol binding protein 3 
RBP4	retinol binding protein 4 
RBP5	retinol binding protein 5 
RBP7	retinol binding protein 7 
RBX1	ring-box 1 
RCAN1	regulator of calcineurin 1 
RCVRN	recoverin 
RDH11	retinol dehydrogenase 11 
RDH12	retinol dehydrogenase 12 
RDH13	retinol dehydrogenase 13 
RDH14	retinol dehydrogenase 14 
RDH5	retinol dehydrogenase 5 
RDH8	retinol dehydrogenase 8 
RDX	radixin 
REEP5	receptor accessory protein 5 
REG1A	regenerating family member 1 alpha 
RELA	RELA proto-oncogene, NF-kB subunit 
REN	renin 
RENBP	renin binding protein 
RET	ret proto-oncogene 
RETSAT	retinol saturase 
REV1	REV1 DNA directed polymerase 
REV3L	REV3 like, DNA directed polymerase zeta catalytic subunit 
RFK	riboflavin kinase 
RGN	regucalcin 
RGS17	regulator of G protein signaling 17 
RGS19	regulator of G protein signaling 19 
RGS2	regulator of G protein signaling 2 
RGS4	regulator of G protein signaling 4 
RGS5	regulator of G protein signaling 5 
RHBDF2	rhomboid 5 homolog 2 
RHCG	Rh family C glycoprotein 
RHD	Rh blood group D antigen 
RHEB	Ras homolog, mTORC1 binding 
RHO	rhodopsin 
RHOA	ras homolog family member A 
RHOB	ras homolog family member B 
RIC3	RIC3 acetylcholine receptor chaperone 
RIDA	reactive intermediate imine deaminase A homolog 
RIOK1	RIO kinase 1 
RIOK2	RIO kinase 2 
RIOK3	RIO kinase 3 
RIPK1	receptor interacting serine/threonine kinase 1 
RIPK2	receptor interacting serine/threonine kinase 2 
RIPK4	receptor interacting serine/threonine kinase 4 
RIPOR2	RHO family interacting cell polarization regulator 2 
RLBP1	retinaldehyde binding protein 1 
RNASE1	ribonuclease A family member 1, pancreatic 
RNASE2	ribonuclease A family member 2 
RNASE3	ribonuclease A family member 3 
RNASE4	ribonuclease A family member 4 
RND3	Rho family GTPase 3 
RNF8	ring finger protein 8 
RNGTT	RNA guanylyltransferase and 5'-phosphatase 
ROCK1	Rho associated coiled-coil containing protein kinase 1 
ROCK2	Rho associated coiled-coil containing protein kinase 2 
RORA	RAR related orphan receptor A 
RORB	RAR related orphan receptor B 
ROS1	ROS proto-oncogene 1, receptor tyrosine kinase 
RPE	ribulose-5-phosphate-3-epimerase 
RPE65	retinoid isomerohydrolase RPE65 
RPIA	ribose 5-phosphate isomerase A 
RPL10	ribosomal protein L10 
RPL10L	ribosomal protein L10 like 
RPL11	ribosomal protein L11 
RPL13	ribosomal protein L13 
RPL13A	ribosomal protein L13a 
RPL14	ribosomal protein L14 
RPL15	ribosomal protein L15 
RPL18	ribosomal protein L18 
RPL19	ribosomal protein L19 
RPL23	ribosomal protein L23 
RPL23A	ribosomal protein L23a 
RPL26L1	ribosomal protein L26 like 1 
RPL3	ribosomal protein L3 
RPL35	ribosomal protein L35 
RPL37	ribosomal protein L37 
RPL4	ribosomal protein L4 
RPL8	ribosomal protein L8 
RPS13	ribosomal protein S13 
RPS17	ribosomal protein S17 
RPS18	ribosomal protein S18 
RPS19	ribosomal protein S19 
RPS2	ribosomal protein S2 
RPS28	ribosomal protein S28 
RPS5	ribosomal protein S5 
RPS6	ribosomal protein S6 
RPS6KA1	ribosomal protein S6 kinase A1 
RPS6KA3	ribosomal protein S6 kinase A3 
RPS6KA4	ribosomal protein S6 kinase A4 
RPS6KA6	ribosomal protein S6 kinase A6 
RPS8	ribosomal protein S8 
RPS9	ribosomal protein S9 
RPSA	ribosomal protein SA 
RPTOR	regulatory associated protein of MTOR complex 1 
RRAS2	RAS related 2 
RRBP1	ribosome binding protein 1 
RRM1	ribonucleotide reductase catalytic subunit M1 
RRM2	ribonucleotide reductase regulatory subunit M2 
RRM2B	ribonucleotide reductase regulatory TP53 inducible subunit M2B 
RRP7A	ribosomal RNA processing 7 homolog A 
RSL24D1	ribosomal L24 domain containing 1 
RTCB	RNA 2',3'-cyclic phosphate and 5'-OH ligase 
RUVBL2	RuvB like AAA ATPase 2 
RXRA	retinoid X receptor alpha 
RXRB	retinoid X receptor beta 
RXRG	retinoid X receptor gamma 
RYR1	ryanodine receptor 1 
RYR2	ryanodine receptor 2 
RYR3	ryanodine receptor 3 
S100A1	S100 calcium binding protein A1 
S100A10	S100 calcium binding protein A10 
S100A11	S100 calcium binding protein A11 
S100A12	S100 calcium binding protein A12 
S100A13	S100 calcium binding protein A13 
S100A16	S100 calcium binding protein A16 
S100A2	S100 calcium binding protein A2 
S100A4	S100 calcium binding protein A4 
S100A6	S100 calcium binding protein A6 
S100A7	S100 calcium binding protein A7 
S100A8	S100 calcium binding protein A8 
S100A9	S100 calcium binding protein A9 
S100B	S100 calcium binding protein B 
S100G	S100 calcium binding protein G 
S100P	S100 calcium binding protein P 
S1PR1	sphingosine-1-phosphate receptor 1 
S1PR5	sphingosine-1-phosphate receptor 5 
SACM1L	SAC1 like phosphatidylinositide phosphatase 
SAMHD1	SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1 
SAR1B	secretion associated Ras related GTPase 1B 
SARS1	seryl-tRNA synthetase 1 
SAT1	spermidine/spermine N1-acetyltransferase 1 
SAT2	spermidine/spermine N1-acetyltransferase family member 2 
SBK1	SH3 domain binding kinase 1 
SBK3	SH3 domain binding kinase family member 3 
SCAP	SREBF chaperone 
SCARB1	scavenger receptor class B member 1 
SCGB1A1	secretoglobin family 1A member 1 
SCLY	selenocysteine lyase 
SCMH1	Scm polycomb group protein homolog 1 
SCN10A	sodium voltage-gated channel alpha subunit 10 
SCN11A	sodium voltage-gated channel alpha subunit 11 
SCN1A	sodium voltage-gated channel alpha subunit 1 
SCN1B	sodium voltage-gated channel beta subunit 1 
SCN2A	sodium voltage-gated channel alpha subunit 2 
SCN2B	sodium voltage-gated channel beta subunit 2 
SCN3A	sodium voltage-gated channel alpha subunit 3 
SCN3B	sodium voltage-gated channel beta subunit 3 
SCN4A	sodium voltage-gated channel alpha subunit 4 
SCN4B	sodium voltage-gated channel beta subunit 4 
SCN5A	sodium voltage-gated channel alpha subunit 5 
SCN7A	sodium voltage-gated channel alpha subunit 7 
SCN8A	sodium voltage-gated channel alpha subunit 8 
SCN9A	sodium voltage-gated channel alpha subunit 9 
SCNN1A	sodium channel epithelial 1 alpha subunit 
SCNN1B	sodium channel epithelial 1 beta subunit 
SCNN1D	sodium channel epithelial 1 delta subunit 
SCNN1G	sodium channel epithelial 1 gamma subunit 
SCO1	SCO cytochrome c oxidase assembly protein 1 
SCPEP1	serine carboxypeptidase 1 
SCTR	secretin receptor 
SCYL1	SCY1 like pseudokinase 1 
SDC2	syndecan 2 
SDF2	stromal cell derived factor 2 
SDHA	succinate dehydrogenase complex flavoprotein subunit A 
SDHB	succinate dehydrogenase complex iron sulfur subunit B 
SDHC	succinate dehydrogenase complex subunit C 
SDHD	succinate dehydrogenase complex subunit D 
SDS	serine dehydratase 
SDSL	serine dehydratase like 
SEC14L2	SEC14 like lipid binding 2 
SEC14L3	SEC14 like lipid binding 3 
SEC14L4	SEC14 like lipid binding 4 
SELE	selectin E 
SELENOP	selenoprotein P 
SELP	selectin P 
SEMA3C	semaphorin 3C 
SEMG1	semenogelin 1 
SENP3	SUMO specific peptidase 3 
SEPSECS	Sep (O-phosphoserine) tRNA:Sec (selenocysteine) tRNA synthase 
SERPINA1	serpin family A member 1 
SERPINA3	serpin family A member 3 
SERPINA4	serpin family A member 4 
SERPINA5	serpin family A member 5 
SERPINA6	serpin family A member 6 
SERPINA7	serpin family A member 7 
SERPINB2	serpin family B member 2 
SERPINB3	serpin family B member 3 
SERPINB5	serpin family B member 5 
SERPINB6	serpin family B member 6 
SERPINB9	serpin family B member 9 
SERPINC1	serpin family C member 1 
SERPIND1	serpin family D member 1 
SERPINE1	serpin family E member 1 
SERPINF1	serpin family F member 1 
SERPINF2	serpin family F member 2 
SERPING1	serpin family G member 1 
SETD7	SET domain containing 7, histone lysine methyltransferase 
SF1	splicing factor 1 
SF3A2	splicing factor 3a subunit 2 
SF3A3	splicing factor 3a subunit 3 
SF3B1	splicing factor 3b subunit 1 
SF3B3	splicing factor 3b subunit 3 
SFPQ	splicing factor proline and glutamine rich 
SFRP4	secreted frizzled related protein 4 
SFRP5	secreted frizzled related protein 5 
SFTPA1	surfactant protein A1 
SFTPD	surfactant protein D 
SGK1	serum/glucocorticoid regulated kinase 1 
SGK3	serum/glucocorticoid regulated kinase family member 3 
SGPL1	sphingosine-1-phosphate lyase 1 
SH2B1	SH2B adaptor protein 1 
SH2B3	SH2B adaptor protein 3 
SH2D1A	SH2 domain containing 1A 
SH2D5	SH2 domain containing 5 
SH3BP2	SH3 domain binding protein 2 
SHBG	sex hormone binding globulin 
SHMT1	serine hydroxymethyltransferase 1 
SHMT2	serine hydroxymethyltransferase 2 
SI	sucrase-isomaltase 
SIGLEC1	sialic acid binding Ig like lectin 1 
SIGLEC7	sialic acid binding Ig like lectin 7 
SIGMAR1	sigma non-opioid intracellular receptor 1 
SIK1	salt inducible kinase 1 
SIK2	salt inducible kinase 2 
SIK3	SIK family kinase 3 
SIRT1	sirtuin 1 
SIRT2	sirtuin 2 
SIRT3	sirtuin 3 
SIRT5	sirtuin 5 
SIVA1	SIVA1 apoptosis inducing factor 
SKP1	S-phase kinase associated protein 1 
SLAMF7	SLAM family member 7 
SLC10A1	solute carrier family 10 member 1 
SLC10A2	solute carrier family 10 member 2 
SLC10A6	solute carrier family 10 member 6 
SLC11A2	solute carrier family 11 member 2 
SLC12A1	solute carrier family 12 member 1 
SLC12A2	solute carrier family 12 member 2 
SLC12A3	solute carrier family 12 member 3 
SLC12A4	solute carrier family 12 member 4 
SLC12A5	solute carrier family 12 member 5 
SLC12A6	solute carrier family 12 member 6 
SLC12A7	solute carrier family 12 member 7 
SLC12A8	solute carrier family 12 member 8 
SLC13A1	solute carrier family 13 member 1 
SLC13A2	solute carrier family 13 member 2 
SLC13A3	solute carrier family 13 member 3 
SLC13A5	solute carrier family 13 member 5 
SLC14A1	solute carrier family 14 member 1 (Kidd blood group) 
SLC14A2	solute carrier family 14 member 2 
SLC15A1	solute carrier family 15 member 1 
SLC15A2	solute carrier family 15 member 2 
SLC16A1	solute carrier family 16 member 1 
SLC16A10	solute carrier family 16 member 10 
SLC16A2	solute carrier family 16 member 2 
SLC16A3	solute carrier family 16 member 3 
SLC16A4	solute carrier family 16 member 4 
SLC16A5	solute carrier family 16 member 5 
SLC16A6	solute carrier family 16 member 6 
SLC16A7	solute carrier family 16 member 7 
SLC16A8	solute carrier family 16 member 8 
SLC18A1	solute carrier family 18 member A1 
SLC18A2	solute carrier family 18 member A2 
SLC19A1	solute carrier family 19 member 1 
SLC19A2	solute carrier family 19 member 2 
SLC19A3	solute carrier family 19 member 3 
SLC1A1	solute carrier family 1 member 1 
SLC1A2	solute carrier family 1 member 2 
SLC1A3	solute carrier family 1 member 3 
SLC1A4	solute carrier family 1 member 4 
SLC1A5	solute carrier family 1 member 5 
SLC1A6	solute carrier family 1 member 6 
SLC1A7	solute carrier family 1 member 7 
SLC20A1	solute carrier family 20 member 1 
SLC20A2	solute carrier family 20 member 2 
SLC22A1	solute carrier family 22 member 1 
SLC22A10	solute carrier family 22 member 10 
SLC22A11	solute carrier family 22 member 11 
SLC22A12	solute carrier family 22 member 12 
SLC22A16	solute carrier family 22 member 16 
SLC22A2	solute carrier family 22 member 2 
SLC22A3	solute carrier family 22 member 3 
SLC22A4	solute carrier family 22 member 4 
SLC22A5	solute carrier family 22 member 5 
SLC22A6	solute carrier family 22 member 6 
SLC22A7	solute carrier family 22 member 7 
SLC22A8	solute carrier family 22 member 8 
SLC23A1	solute carrier family 23 member 1 
SLC25A1	solute carrier family 25 member 1 
SLC25A10	solute carrier family 25 member 10 
SLC25A12	solute carrier family 25 member 12 
SLC25A13	solute carrier family 25 member 13 
SLC25A15	solute carrier family 25 member 15 
SLC25A18	solute carrier family 25 member 18 
SLC25A2	solute carrier family 25 member 2 
SLC25A20	solute carrier family 25 member 20 
SLC25A21	solute carrier family 25 member 21 
SLC25A22	solute carrier family 25 member 22 
SLC25A29	solute carrier family 25 member 29 
SLC25A31	solute carrier family 25 member 31 
SLC25A32	solute carrier family 25 member 32 
SLC25A4	solute carrier family 25 member 4 
SLC25A5	solute carrier family 25 member 5 
SLC25A6	solute carrier family 25 member 6 
SLC26A9	solute carrier family 26 member 9 
SLC28A1	solute carrier family 28 member 1 
SLC28A2	solute carrier family 28 member 2 
SLC28A3	solute carrier family 28 member 3 
SLC29A1	solute carrier family 29 member 1 (Augustine blood group) 
SLC29A2	solute carrier family 29 member 2 
SLC29A3	solute carrier family 29 member 3 
SLC29A4	solute carrier family 29 member 4 
SLC2A1	solute carrier family 2 member 1 
SLC2A10	solute carrier family 2 member 10 
SLC2A11	solute carrier family 2 member 11 
SLC2A12	solute carrier family 2 member 12 
SLC2A2	solute carrier family 2 member 2 
SLC2A3	solute carrier family 2 member 3 
SLC2A4	solute carrier family 2 member 4 
SLC2A5	solute carrier family 2 member 5 
SLC2A6	solute carrier family 2 member 6 
SLC2A7	solute carrier family 2 member 7 
SLC2A8	solute carrier family 2 member 8 
SLC2A9	solute carrier family 2 member 9 
SLC30A8	solute carrier family 30 member 8 
SLC30A9	solute carrier family 30 member 9 
SLC31A1	solute carrier family 31 member 1 
SLC31A2	solute carrier family 31 member 2 
SLC32A1	solute carrier family 32 member 1 
SLC34A1	solute carrier family 34 member 1 
SLC34A2	solute carrier family 34 member 2 
SLC34A3	solute carrier family 34 member 3 
SLC36A1	solute carrier family 36 member 1 
SLC36A2	solute carrier family 36 member 2 
SLC38A3	solute carrier family 38 member 3 
SLC39A14	solute carrier family 39 member 14 
SLC3A1	solute carrier family 3 member 1 
SLC41A3	solute carrier family 41 member 3 
SLC44A1	solute carrier family 44 member 1 
SLC44A2	solute carrier family 44 member 2 
SLC44A3	solute carrier family 44 member 3 
SLC44A4	solute carrier family 44 member 4 
SLC46A1	solute carrier family 46 member 1 
SLC47A1	solute carrier family 47 member 1 
SLC47A2	solute carrier family 47 member 2 
SLC4A10	solute carrier family 4 member 10 
SLC4A4	solute carrier family 4 member 4 
SLC4A5	solute carrier family 4 member 5 
SLC4A7	solute carrier family 4 member 7 
SLC4A8	solute carrier family 4 member 8 
SLC51A	solute carrier family 51 alpha subunit 
SLC51B	solute carrier family 51 beta subunit 
SLC52A2	solute carrier family 52 member 2 
SLC5A1	solute carrier family 5 member 1 
SLC5A2	solute carrier family 5 member 2 
SLC5A3	solute carrier family 5 member 3 
SLC5A5	solute carrier family 5 member 5 
SLC5A6	solute carrier family 5 member 6 
SLC5A7	solute carrier family 5 member 7 
SLC5A8	solute carrier family 5 member 8 
SLC6A1	solute carrier family 6 member 1 
SLC6A11	solute carrier family 6 member 11 
SLC6A12	solute carrier family 6 member 12 
SLC6A13	solute carrier family 6 member 13 
SLC6A14	solute carrier family 6 member 14 
SLC6A2	solute carrier family 6 member 2 
SLC6A3	solute carrier family 6 member 3 
SLC6A4	solute carrier family 6 member 4 
SLC6A5	solute carrier family 6 member 5 
SLC6A6	solute carrier family 6 member 6 
SLC6A7	solute carrier family 6 member 7 
SLC6A8	solute carrier family 6 member 8 
SLC6A9	solute carrier family 6 member 9 
SLC7A1	solute carrier family 7 member 1 
SLC7A11	solute carrier family 7 member 11 
SLC7A2	solute carrier family 7 member 2 
SLC7A3	solute carrier family 7 member 3 
SLC7A4	solute carrier family 7 member 4 
SLC7A5	solute carrier family 7 member 5 
SLC7A7	solute carrier family 7 member 7 
SLC7A8	solute carrier family 7 member 8 
SLC7A9	solute carrier family 7 member 9 
SLC8A1	solute carrier family 8 member A1 
SLC9A1	solute carrier family 9 member A1 
SLC9A3	solute carrier family 9 member A3 
SLCO1A2	solute carrier organic anion transporter family member 1A2 
SLCO1B1	solute carrier organic anion transporter family member 1B1 
SLCO1B3	solute carrier organic anion transporter family member 1B3 
SLCO1C1	solute carrier organic anion transporter family member 1C1 
SLCO2A1	solute carrier organic anion transporter family member 2A1 
SLCO2B1	solute carrier organic anion transporter family member 2B1 
SLCO3A1	solute carrier organic anion transporter family member 3A1 
SLCO4A1	solute carrier organic anion transporter family member 4A1 
SLCO4C1	solute carrier organic anion transporter family member 4C1 
SLIT1	slit guidance ligand 1 
SLK	STE20 like kinase 
SMAD2	SMAD family member 2 
SMARCA5	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5 
SMARCE1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1 
SMG6	SMG6 nonsense mediated mRNA decay factor 
SMN1	survival of motor neuron 1, telomeric 
SMN2	survival of motor neuron 2, centromeric 
SMO	smoothened, frizzled class receptor 
SMOX	spermine oxidase 
SMPD1	sphingomyelin phosphodiesterase 1 
SMPD3	sphingomyelin phosphodiesterase 3 
SMPD4	sphingomyelin phosphodiesterase 4 
SMS	spermine synthase 
SNAP25	synaptosome associated protein 25 
SNCA	synuclein alpha 
SNORD68	small nucleolar RNA, C/D box 68 
SNRK	SNF related kinase 
SNRPA	small nuclear ribonucleoprotein polypeptide A 
SNRPD2	small nuclear ribonucleoprotein D2 polypeptide 
SNU13	small nuclear ribonucleoprotein 13 
SNX3	sorting nexin 3 
SOAT1	sterol O-acyltransferase 1 
SOAT2	sterol O-acyltransferase 2 
SOD1	superoxide dismutase 1 
SOD2	superoxide dismutase 2 
SORCS2	sortilin related VPS10 domain containing receptor 2 
SORD	sorbitol dehydrogenase 
SOST	sclerostin 
SOX10	SRY-box transcription factor 10 
SP1	Sp1 transcription factor 
SPARC	secreted protein acidic and cysteine rich 
SPECC1L	sperm antigen with calponin homology and coiled-coil domains 1 like 
SPG7	SPG7 matrix AAA peptidase subunit, paraplegin 
SPHK1	sphingosine kinase 1 
SPINK6	serine peptidase inhibitor, Kazal type 6 
SPIRE2	spire type actin nucleation factor 2 
SPOPL	speckle type BTB/POZ protein like 
SPP1	secreted phosphoprotein 1 
SPR	sepiapterin reductase 
SPSB2	splA/ryanodine receptor domain and SOCS box containing 2 
SPTBN1	spectrin beta, non-erythrocytic 1 
SPTLC1	serine palmitoyltransferase long chain base subunit 1 
SPTLC2	serine palmitoyltransferase long chain base subunit 2 
SPTLC3	serine palmitoyltransferase long chain base subunit 3 
SQLE	squalene epoxidase 
SRC	SRC proto-oncogene, non-receptor tyrosine kinase 
SRD5A1	steroid 5 alpha-reductase 1 
SRD5A2	steroid 5 alpha-reductase 2 
SRD5A3	steroid 5 alpha-reductase 3 
SREBF1	sterol regulatory element binding transcription factor 1 
SRI	sorcin 
SRM	spermidine synthase 
SRMS	src-related kinase lacking C-terminal regulatory tyrosine and N-terminal myristylation sites 
SRP14	signal recognition particle 14 
SRP19	signal recognition particle 19 
SRPK2	SRSF protein kinase 2 
SRPRB	SRP receptor subunit beta 
SRR	serine racemase 
SRSF1	serine and arginine rich splicing factor 1 
SRSF4	serine and arginine rich splicing factor 4 
SST	somatostatin 
SSTR1	somatostatin receptor 1 
SSTR2	somatostatin receptor 2 
SSTR3	somatostatin receptor 3 
SSTR4	somatostatin receptor 4 
SSTR5	somatostatin receptor 5 
ST13	ST13 Hsp70 interacting protein 
ST14	suppression of tumorigenicity 14 
